period,contract,strategy,fastEMA,slowEMA,volat_sd,z_th,gross_SR,net_SR,gross_CR,net_CR,gross_cumPnL,net_cumPnL,av_ntrades,stat
2023Q1,NQ,RF_EMA_crossover_mr,45,240,90,2.0,-1.4324904222437136,-1.9482640088953087,-2.2148592044066073,-2.711768571884951,-7636.039999999957,-10348.039999999957,3.476923076923077,-5.721096308973225
2023Q3,NQ,RF_EMA_crossover_mr,45,240,90,2.0,2.5640877462624645,1.9611666536203427,5.681935784774144,4.219272376884938,10973.960000000152,8357.960000000152,3.353846153846154,3.1023700478843907
2023Q4,NQ,RF_EMA_crossover_mr,45,240,90,2.0,0.7813858637353804,0.18300716139589013,1.0918857021266408,0.24186506455699922,2971.3599999998405,691.3599999998405,2.96875,-0.0
2024Q2,NQ,RF_EMA_crossover_mr,45,240,90,2.0,0.41153302126165436,-0.056355714016078653,0.9055882522305134,-0.11072587467306977,1984.5600000005652,-271.4399999994348,2.8923076923076922,-0.0
2024Q4,NQ,RF_EMA_crossover_mr,45,240,90,2.0,-0.32921534303092187,-0.6908687361210509,-0.5837864049646029,-1.0833432247467538,-1685.4399999998714,-3533.4399999998714,2.3692307692307693,-1.5032001429961102
2025Q1,NQ,RF_EMA_crossover_mr,45,240,90,2.0,4.8006750192130765,4.477834648392959,19.462462594168446,17.754448976346335,28844.440000000322,26792.440000000322,2.7142857142857144,13.079596702113479
2025Q2,NQ,RF_EMA_crossover_mr,45,240,90,2.0,-0.7350961608538201,-0.9642443983252832,-1.1624169871924643,-1.5063863892619578,-6675.740000000151,-8739.74000000015,2.646153846153846,-3.1743067918871257
2023Q1,SP,RF_EMA_crossover_mr,45,240,90,2.0,-1.7945443291001035,-2.7248361148485167,-2.5774600001485912,-3.171562165528802,-5505.249999999933,-8325.249999999933,3.6153846153846154,-6.834372815397112
2023Q3,SP,RF_EMA_crossover_mr,45,240,90,2.0,1.672068364919708,0.5290728899752343,4.111875066066509,1.090369055819702,3820.4500000001644,1204.4500000001644,3.353846153846154,0.00540822711925421
2023Q4,SP,RF_EMA_crossover_mr,45,240,90,2.0,1.3668760362012158,0.24718992140406398,4.492856425198386,0.5679198702122504,2839.199999999937,511.19999999993706,3.03125,-0.0
2024Q2,SP,RF_EMA_crossover_mr,45,240,90,2.0,2.9205010262666713,1.8833102391610668,7.837049918167153,4.414499819429599,5472.500000000173,3492.500000000173,2.5384615384615383,1.7299924248229637
2024Q4,SP,RF_EMA_crossover_mr,45,240,90,2.0,-1.052260552432739,-1.9537258351635807,-1.394219871615338,-2.225181686307219,-2503.550000000041,-4615.550000000041,2.707692307692308,-3.752804449696783
2025Q1,SP,RF_EMA_crossover_mr,45,240,90,2.0,6.200913459190592,5.585090455875998,24.96814629334519,21.87459572248279,20565.949999999924,18345.949999999924,2.9365079365079363,14.794607133139479
2025Q2,SP,RF_EMA_crossover_mr,45,240,90,2.0,-1.1805547693645992,-1.5778746472458323,-1.6489534339244578,-2.173329630431373,-6173.150000000078,-8237.150000000078,2.646153846153846,-4.381519538979711
