quarter,sample,sym,gross_SR,net_SR,gross_PnL,net_PnL,gross_CR,net_CR,av_daily_ntrans,stat
2023_Q1,IS,NQ,6.107554277230289,5.849099653522976,59252.99999999985,56900.99999999985,37.28895013358005,35.25934545082563,3.0153846153846153,21.617385516989888
2023_Q1,IS,SP,-0.9799590346310683,-1.3400708438900795,-6326.150000000075,-8606.150000000076,-1.6753187876087614,-2.148779047532255,2.923076923076923,-3.9607102875436224
2023_Q1,IS,NQ+SP,5.39395799600093,4.924629899694176,52926.849999999766,48294.84999999977,31.639026768202967,25.793271111702026,5.938461538461539,17.15572781484593
2023_Q3,IS,NQ,0.8290136391023594,0.5207841906365628,6365.5200000002515,4013.5200000002515,1.9192077140110264,1.1540744111512273,3.0153846153846153,0.028883138387654116
2023_Q3,IS,SP,2.228073021910256,1.7408261552392696,9282.49999999989,7194.499999999891,7.700999007412106,5.375162228288201,2.6769230769230767,2.4485431541248555
2023_Q3,IS,NQ+SP,2.348728840349568,1.674512363000694,15648.020000000142,11208.020000000142,7.043803899608077,4.816991074375159,5.6923076923076925,2.838361334327159
2023_Q4,IS,NQ,2.050779123316455,1.7807245027486813,16052.959999999875,13988.959999999875,8.870874617565205,6.975347617961959,2.6875,3.378895045030549
2023_Q4,IS,SP,-0.0765282625821076,-0.49540348520820443,-340.2000000000953,-2188.2000000000953,-0.12245576586421714,-0.7107856886531619,2.40625,-0.7794798525298767
2023_Q4,IS,NQ+SP,2.450073321209024,1.835251148066192,15712.75999999978,11800.75999999978,8.697466419247904,5.494031002252339,5.09375,3.295618729396223
2024_Q2,IS,NQ,-0.2431631650152685,-0.4270834167036042,-2615.560000000114,-4607.560000000114,-0.49716589821257967,-0.8498066005038969,2.5538461538461537,-1.4163038827019647
2024_Q2,IS,SP,3.073643362407286,2.6967559458069332,15334.599999999818,13366.599999999818,9.558125807343105,7.9922392985755835,2.523076923076923,5.695658876927696
2024_Q2,IS,NQ+SP,1.3987564055008617,0.9607596308448961,12719.039999999704,8759.039999999704,2.7357633803955443,1.7834203284222188,5.076923076923077,0.9998881670519405
2024_Q4,IS,NQ,2.8670765330061703,2.6527033105855824,26062.21999999987,24166.21999999987,20.896750568500156,18.999317821408702,2.4307692307692306,6.856264873768064
2024_Q4,IS,SP,0.5064930647584166,0.15900924337786737,2757.599999999684,861.5999999996839,0.9677918561865518,0.2659773961744457,2.4307692307692306,-0.0
2024_Q4,IS,NQ+SP,3.177348507488878,2.760635377620735,28819.819999999552,25027.819999999552,18.161964702602695,13.782822549900368,4.861538461538461,7.279218802251538
2025_Q1,IS,NQ,0.5435151358780996,0.32619242636159645,5660.439999999508,3404.4399999995076,0.982559194155697,0.5707440927489301,2.984126984126984,-0.21292826262109774
2025_Q1,IS,SP,4.062244252071575,3.8144236148422985,30609.650000000333,28617.650000000333,28.566768936434077,25.70034013987339,2.634920634920635,11.11665522458652
2025_Q1,IS,NQ+SP,3.8914971541932575,3.4344890754925417,36270.08999999984,32022.08999999984,11.282064920703794,9.284873631607093,5.619047619047619,10.172189160931579
2025_Q2,IS,NQ,0.334791353750139,0.24809700636757356,7438.440000000119,5518.440000000119,0.8858227157912677,0.6365282486391737,2.4615384615384617,-0.43027429722435445
2025_Q2,IS,SP,3.871117932751573,3.7053936188002936,42551.34999999996,40607.34999999996,25.839686538732664,24.204229864503855,2.4923076923076923,11.872614760476775
2025_Q2,IS,NQ+SP,1.8315531335461033,1.6898373381008966,49989.790000000066,46125.790000000066,11.186242338522817,9.177423742666646,4.953846153846154,4.558709734923465
2023_Q2,OOS,NQ,-0.9133308291212633,-1.2882715585410511,-8613.759999999893,-12213.759999999893,-3.0414946391996325,-3.32982152946258,4.6875,-4.475262567232886
2023_Q2,OOS,SP,-0.8064374788587516,-1.3262076526819242,-4032.799999999861,-6576.799999999861,-1.282728286157396,-1.838085977009841,3.3125,-3.439750328523665
2023_Q2,OOS,NQ+SP,-1.3373668298463066,-1.9788576449003827,-12646.559999999752,-18790.55999999975,-2.8277179313908323,-3.3086557940067465,8.0,-7.271368515244003
2024_Q1,OOS,NQ,-1.2802979700958241,-1.54297671916506,-11288.919999999998,-13688.919999999998,-3.437820288729717,-3.998009344491156,3.125,-5.345625806750609
2024_Q1,OOS,SP,-1.486943153975299,-1.966093718103734,-5798.449999999957,-7622.449999999957,-1.8640614029000184,-2.2723305881952154,2.375,-5.008877624894437
2024_Q1,OOS,NQ+SP,-2.4395450579293487,-3.017099733297953,-17087.369999999955,-21311.369999999955,-4.024033570435764,-4.0671696756773175,5.5,-10.759654766516247
2024_Q3,OOS,NQ,-3.0429997549247565,-3.1974831461040805,-42418.10000000034,-44722.10000000034,-2.931440184433454,-2.9806108486385794,2.909090909090909,-14.052165588262824
2024_Q3,OOS,SP,-0.13866187618697717,-0.5307910632963644,-683.3999999998468,-2603.399999999847,-0.2941068579642764,-1.015960031628245,2.4242424242424243,-0.9862797353666805
2024_Q3,OOS,NQ+SP,-3.5204734458132454,-3.8490796972042185,-43101.50000000019,-47325.50000000019,-2.9252994970492625,-3.0239351833609955,5.333333333333333,-16.77461463769819
2025_Q3,OOS,NQ,-3.4030893659825083,-3.58612725597916,-31546.980000000185,-33322.980000000185,-3.3540047830849145,-3.439928785114531,2.242424242424242,-14.326972450642472
2025_Q3,OOS,SP,1.5329961672766506,1.023236992496909,5638.749999999891,3742.749999999891,6.070282012341416,3.4662543205383196,2.393939393939394,0.6905789798747318
2025_Q3,OOS,NQ+SP,-3.2971545782753195,-3.754850035829385,-25908.230000000294,-29580.230000000294,-3.356907805891446,-3.4555652383342714,4.636363636363637,-14.411629075886758
2025_Q4,OOS,NQ,-0.638888528048461,-0.8005712743306272,-2894.499999999607,-3638.499999999607,-2.1493058205464424,-2.6756494833866027,2.6956521739130435,-1.6797808030955146
